你開一個慶祝會的時候我不能會參加	OORROOOOOOOOOROO
	
關於臭味的問題	OOOOOOO
我們希望貴工廠儘快改善處理廢物的系統	OOOOOOOOOOOOOSSOOO
	
我們非常明瞭貴工廠對這裡的貢獻	OOOOOOOOOOOOOOO
可是我們認為我們的損失卻不小了	OOOOOOOOOOOSOOR
	
我們非常希望貴工廠和我們會保持這幾年的合作	OOOOOOOOOOOOSOOOOOOOO
馬上解決這兩件事	OOOOOOOO
讓問題不致嚴重的程度	OOOOOMOOOO
	
這次我給你寫這封信的理由就是因為最近有工廠的噪音和臭味的關係	OOOOOOOOOOOOOOOOOOOOOOOOOOOOSS
除了我以外	OOOOO
鄰居們也都認為工廠的噪音和臭味對我們的健康以及心理的影響很不好	OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
所以我這次代表鄰居想向你說意見	OOOOOOOOOOOOSOO
	
我們認為工廠的噪音和臭味讓我們已經受不了了	OOOOOOOOOOOOWWWWWOOOO
	
至於臭味	OOOO
讓我們聞到噁心的味道	OOOOOOOOOO
有些人一聞到噁心的臭味	OOOOOOOOOOO
就吐了	OOO
根據以上的報導	OOOOOSS
你應該要在乎工廠經營的方法	OOOOSSOOOOOOO
	
我們建議你首先要處理臭味	OOOOOOOROOOO
因為有些人的健康已經讓不好了	OOWWWWWWWWWOOO
他們現在繼續去看醫生	OOOOMOOOOO
所以你要向他們賠錢多少	OOOOOOOOORR
	
我們也知道使用機器的時候	OOOOOOOOOOOO
沒辦法造成多少聲音	OOOMSSSOO
可是我們認為你的工廠的噪音太大	OOOOOOOOOOOOOOO
	
如果你不聽我們的意見的話	OOOOOOOOOOOO
我們只好去請法院把處理這些問題	OOOOOOOOROOOOOO
	
謝謝你看完我們的意見	OOOOOOOOOO
我們真希望你的誠意	OOSOOMOOO
	
最近市公所發表我們這一區的人口越來越少	OOOOOSSOOOOOOOOOOOO
事情在搞大之前	OOOOOOO
請解決這件事	OOOOOO
已經不少居民有噪音與臭味引起的健康問題了	OOOOOOOMOOOOOOOOOOOO
	
居民要求工廠加強防噪音與防臭味設備	OOOOOOOOOOOOOOOMO
應該要設備防噪音牆與化學藥品過濾器來處理這一件事	OOOSSOOOOOOOOOOOOOOOOOOO
	
我們十分了解採用這方案需要經費	OOOOOOOOOOOOOOO
但是這些對策是本來工廠應該要做的	OOOOOOWWWOOOOOOO
所以用缺預算理由逃避	OOMOOOMOOO
	
採用辦法	OOMO
確定可以解決這一件事	OOOOOOOOOO
若工廠有更好辦法	OOOOOOMO
請告知我們	OOOOO
	
若李廠長不願意處理這一件事	OOOOOOOOOOOOO
我們居民會告工廠	OOOOOOOO
我們居民也最好不要告工廠	OOOOOMOOOOOO
到現在工廠與居民一起互相發展	OOOMOOOOOOOOOO
所以我們希望與工廠繼續建立良好的關係	OOOOOOOOOOOOOOOOOO
	
接著因為民眾晚上十點之後希望能夠有安靜及舒適的睡眠時間	OOOOOOOOOOOOOOOOOOOOOOOOOOO
本人也得知貴工廠是採二十四小時輪班運作方式	OOOOOOOOOOOOOOOOOMOOO
你們在這裡開工廠已經有很長的一段時間	OOOOOOOOOOOOOOOOOO
希望廠長能夠與我們共同維護這美好的生活空間	OOOOOOOOOOOOOOOOOOOOO
	
第一	OO
希望貴工廠工作時間改為一般上班時段	OOOOOOOOOOOOOOOOO
八點到晚上十點之間	MOOOOOOOO
	
第三	OO
關於排放廢棄物的問題	OOOOOOOOOO
請貴工廠向政府單位衡量排放的標準並改善排放的方式	OOOOOOOOOSSOOOOOOOOOOOOO
如何才能更環保	MOOOOOO
	
我們盼望貴工廠能盡快處理此事	OOOOOOOOOOOOOO
如無法妥當的處理	OOOOOSOO
我們會向政府相關單位投訴	OOOOOOOOOOOO
並請環保局檢查貴工廠噪音和排放廢料的狀況	OOOOOOOOOOOOOOOOOOOO
	
但不知道為甚麼最近您工廠那邊常常發出噪音和臭味	OOOOOOOOOOOOOOOOOOOOOOO
這件事情已經不是發生在這一兩天	OOOOOOOOMOOOOOO
此事已經持續了快一個禮拜	OOOOOOOOOOOO
	
所以鄰居們受不了您工廠發出的嗓音和臭味	OOOOOOOOOOOOOOOOOOO
才合起來託我來寫信告知您	OOOOOOOOOOOO
我們對這件事有受到多麼困擾	OOSOOOROOSSOO
	
從我們居民這裡都沒有渴望您做甚麼賠償	ROOOOOOOOOOOOOOOOO
我們只是想要住宅附近的環境回到從前一樣的安靜、一樣的舒適	OOOOOOOOOOOOOOOMOOOOOOOOOOOO
	
若您在期內限	OOOOWW
就是這一個禮拜內沒辦法處理完畢這件事	OOOOOOOOOOOOOOOOOO
很遺憾的我們就不得不把這件事交給警方處理	OOOOOOOOOOOOOOOOOOOO
讓警方替我們來和您工廠決解此件事	OOOOOOOOOOOSSOOO
	
希望您工廠和我們的住宅區還可以繼續當成鄰居	OOOOOOOOOOOOOOOOOSSOO
還有使得我們擁有安靜又舒潔的住宅環境	OOOOOOOOOOOOOOOOOO
	
看您最近太忙了	OOOOOOO
都沒機會跟您碰到面	OOOOOOOOO
所以就寫信來通知您	OOOOOOOOO
也覺得很不好意思在此麻煩您親自來處理事情	OOOOOOOOOOOOOOOOOOOO
但因為事情比我們想像的更嚴重	OOOOOOOOOOOOOO
所以我們決定跟您告知	OOOOOORWWW
	
我們也互相度過很多事情	OOOOOOOOOSS
所以我相信您是個有擔當的人	OOOOOOOOOOOOO
	
可是因為您們最近在工廠的活動讓我們都沒辦法安安頓頓的過生活	OOOOOOOOOOOOOOOOOOOOOSSSSSOOO
每天一大早起來就會聞到臭味	OOOOOOOOOOOOO
不僅對身體不好	OOOOOOO
還會養出很多種毛病	OOSSOOOOO
像頭痛了、胃痛了等等	OOOROOOROO
	
為了我們的孩子	OOOOOOO
希望您們在這個月底能馬上處理好	OOOOOOOOOOOOOOO
才能讓我們的寶貝專心的準備考試	OOOOOOOOOOSOOOO
否則我們會不得已的去打官司了	OOOOSOOOSOOOOO
這是我們大家就不想要發生的事情	OOOOOOSOOOOOOOO
所以我們很希望您能夠理解	OOOOOOOOOOOO
	
最近住在我們隔壁的鄰居都關於從您們工廠出來的噪音抱怨	OOOOOOOOOOOOMOOOOOOOOOOOMO
還有從您們那邊出來的臭味也越來越臭	OOOOOOOOOOOOOOOOO
	
不知道	OOO
可能因為您沒有注意到這個問題	OOOOOOOOOOOOOO
您們工廠也汙染環境	OOOOROOOO
以及添人家麻煩	OOOMOOO
	
我們鄰居都特別擔心住這裡的小朋友的健康	OOOOOOOOOSOOOOOOOOO
他們的確是我們國家的棟樑	OOOOOOOOOMOO
	
我肯定您也不要讓事情繼續下去	OOOOOOOOOOOOOO
那麼	OO
我只請您用心處理這個問題	OOOOOOOOOOOO
順便我也找到了能夠幫助處理這個問題的幾份資料	WWWWOOOOOOOOOOOOOOOOOO
	
最近環保專家發明了幾種機器能夠吸進有臭味的氣	OOOOOOOOOOOOOOOOOOOOOO
把它弄乾淨一下	OOOOORR
	
我們認為您們不需要多久	OOOOOOOOOOO
也會儘量處理事情	OOSSOOMO
否則我們必須首先跟我們新北市的警察報警	OOOOOOOOOOOOOOOOOOO
事情還是同樣的話就跟內交部報警	OOOOOOOOOOSSSSS
真希望您們不會讓事情到多麼嚴重的地步	OOOOOOOOOOOSSOOOOO
	
我們家住這個地區已經五十多年了	OOOOOOOOOOOOOOO
大部分的鄰居們也是三代一堂	OOOOOOOOOSSSS
在這裡住了很久	OOOOOOO
	
十年前貴工廠申請創造執照時	OOOOOOOOSSOOO
我們家庭跟鄰居們都支持工廠的案子	SSMOOOOOOOOOOOOO
	
貴公司的工廠給我們地區的人帶來職業機會	OOOOOOOOOMOOOOOOOOO
而且申請執照時	OOOOOOO
管理層保障工廠對附近地區環境的影響將不大	OOOOOOOOOOOOOOOOOOOO
	
遠從工廠設立以來	OOOOOOOO
我們鄰居們都聽得到從工廠傳播的聲音	OOOOOOOOOOOOSSOOO
不過即使以前聲音微弱	OORROOOOOO
而現在卻變得很響亮	OOOOOOOOO
打擾地區的鄰居們	OOMOOOOO
使很多人晚上睡不著	OOOOOOOOO
白天無法放鬆下來	OOOOOOOO
	
此外	OO
工廠原來沒有排泄甚麼味道	OOOOOOSSOOOO
如今工廠出發的味道愈來愈濃厚	OOOOSSOOOOOOOO
以至於鄰居們的家裏面也聞得到	OOOOOOOOOOOOOO
這個臭味不只是討厭	OOOOOOOOO
而且也引起不少的鄰居們生病	OOOSSOOOOOOOO
	
申請創造工廠執照時	OOSSOOOOO
貴公司強調工廠將用的技術、設備優秀	OOOOOOOOOOOOOOOOO
因此噪音、臭味的問題都不大	OOOOOOOOOOOOO
	
根據我們鄰居們中間在貴工廠職業的人	OOOOOOOSSOOOOSSOO
工廠的設備這十年都沒更新	OOOOOOOOOOOO
因而噪音、噪音的問題日漸增長	OOOOOSSOOOOOOO
	
再加上在上下班時間	OOOOOOOOO
工廠員工的交通工具特別多	OOOOOOOOOOOO
喇叭的聲音太吵使鄰居很不舒服	OOOOOOOOSSOOOO
	
最嚴重的是工廠排出的廢棄物很臭	OOOOOOOOOOOOOOO
讓我們吃不下飯	OOOOOOO
空氣也被汙染的很嚴重	OOOOOOSOOO
如果一直這樣下去連我們用的水也會有影響	OOOOOOOOOOOOOOOOOOO
逐漸人就會生病	WWWWWOO
	
我們也很支持工廠的發展	OOOOOOOOOOO
不過我想我們要好好的妥協	OOOOOOOOOSSS
	
我希望工廠能再提供一些機器解決工廠排出的廢棄物	OOOOOOOOOOOOOOOOOOOOOOO
不要讓它流出人民使用的水溝	OOOOSSSSOOOOO
汙染了空氣與水源	OOOOOOOO
	
還有噪音的問題也希望貴工廠好好的檢查所有的機器	OOOOOOOOOOOOOOOSOOOOOOO
哪一台壞了就修理一下	OOOOOOOORR
	
我以上所提出我們人民困擾的問題與解決方案	OOOOOOOOSSOOOOOOOOOO
我希望廠長能體會我們的苦處	OOOOOOOOOOOOO
讓我們回到正常的生活	OOOOOOOOOO
	
我們會等著工廠的改變	OOOOOOOOOO
不過如果工廠做不到	OOOOOOOOO
我們就會向有權力與責任的單位幫忙	OOOOSOOOOOOOOOOO
	
最近您的工廠的噪音越來越大	OOOOOOOOOOOOO
害附近的住民的生活	OOOOOOOOO
早上到晚上	OOOOO
天天都太吵	OOOOO
讓附近的孩子們不睡覺	OOOOOOOSOO
	
而且您的工廠產的臭味也害我們的身體	OOOOOOSOOOOOOOOOO
一些住民已經生病了	OOSSOOOOO
	
然後因為您的工廠產這些公害	OOOOOOOOSMOOO
我們的房價也比以前便宜	OOOOOOOOOOO
現在附近的人都受不了噪音跟臭味	OOOOOOOOOOOOOOO
	
第一	OO
我們希望您的公司馬上停或變現在工作的時間短一下	OOOOOOOOOOSOSOOOOOOOSSS
	
第二	OO
您的工廠一定要告訴我們為甚麼哪裡產臭味	OOOOOOOOOOOOOOMOSOO
有對我們的身體甚麼影響	WWWWWWWOOOO
如果您的工廠害我們的身體	OOOOOOSOOOOO
您的公司做甚麼	OOOORSS
	
第三	OO
對已經被影響的人您的公司甚麼做？我們擔心的不得了	OOOOOOOOOOOOSSOOOOOOSOOO
希望十五日以內可以跟您見面	OOOOOOOOOOOOO
	
如果您不聽我們的話	OOOOOOOOO
我們想對電視台告訴這個事情	OOORWWWWWOOOO
還有我們想去我們地區的公所跟立法院	OOOOOOOOOOOOOOOOO
	
我們覺得您的公司也我們都不要這個事情鬧太大	OOOOOOOOOMOOOOMSOOOMO
所以我們希望您的公司早一點跟我們討論這個事情	OOOOOOOOOOOOOOOOOOOSOO
請您寄信甚麼時候可以見面	OOOOMOOOOOOO
	
貴工廠所發出的噪音原先就已經很大	OOOOOOOOOOOOOOOO
最近更是時常不斷發出達到令人無法忍受、極度刺耳的聲音	OOOOOOOOOORROOOOOOOOOOOOOO
	
整個社區已經臭味薰天	OOOOOOSSOO
連待在家裡都得戴上口罩	OOOOOOOOOOO
吃飯的時候連食物味都不見了	OOOOOOOOSOOOO
換來聞到的都是工業臭味	RROOOOOOOOO
	
不知道工廠最近所製造出的噪音	OOOOOOOROOOOOO
及異味的原因是什麼？我們所能看到的是工廠周圍的環境	OOOOOOOOOOOOOOOOOOOOOOOOO
有許多工業品所帶來的汙染	OOOOOSROOOOO
	
如果貴工廠在短時間內未改善	OOOOOOOOOOOOO
不肯處理	OOOO
我們只好尋求公家單位來解決	OOOOOOOOOOOOO
甚至法律途徑	OOMOOO
	
我們只想兩方都能好好的共存	OOOSOOOOOOSOO
而好生活更是我們居民所希望的	OOOOOOOOOOOOOO
每次回到家裡	OOOOOO
都還要戴上口罩及耳塞	OOOOOOOOOO
社會感想？	OOOOM
最近您們工廠的噪音和臭味對我們來說都受不了	OOOOOOOOOOOOOOOOOSOOO
對我們的生活有很大的影響	OOOOOOOOOOOO
	
有一些人必須準備大學考試或很重要的國家考試	OOOOOOOOOOOOOOOOOOOOO
可是他們沒辦法集中念書	OOOOOOOOOMO
所以對考試的及格不及格有影響	OOOOOOOOOOOOOO
結果對他們的人生也有很大的影響	OOOOOOOOOOOOOOO
	
還有對於臭味	OOOOOO
每天在家也在外面也都有從您們的工廠來的臭味	OOOOSOOOOOOOOOOOOSOOO
對我們來說真的很不舒服	OOOOOOOOOOO
	
有時候走路的時候	OOOOOOOO
有一些人眼睛很痛	OOOOOOOO
沒辦法開眼睛	OOOSOO
所以他們常常去看醫生	OOOOOOOOOO
這個情況是非常嚴重	OOOOOOOOO
對我們的身體的影響非常大	OOOOOOOOOOOO
	
所以您們工廠的噪音和臭味對我們的健康身體有真的非常大的影響	OOOOOOOOOOOOOOOOOORRWWWOOOOOO
對於這個情況您們覺得怎麼樣呢？	OOOOOOOOOOOOOOO
如果您們不同意對我們的意見的話	OOOOOOOROOOOOOO
我們有可能會向法院告訴您們工廠	OOOOOOOOOSSOOOO
對於這個很大的環境問題請多多考慮	OOOOOOOOOOOOOOOO
麻煩您	OOO
	
因為最近你們的工廠對我們的生活有很大的問題	OOOOOOOOOSOOOOOSOOOOO
所以我們警告你們	OOOOOOOO
這是一個很大的問題	OOOOOOOOO
請一定要看	OOOOO
要不然說不定發展小則告法院	OOOOOORROOSOO
大則造成社會問題	OOOOOOOO
包括上電視台	OOOOOO
	
問題的內容是工廠的「噪音」與「臭味」	OOOOOOOOOOOOOOOOOO
對我們而言已經受不了	OOOOOOOOOO
	
因為噪音很厲害	OOOOOOO
所以有一些人看醫生吃安眠藥	OOOOOOMOOOOOO
你們的工廠造成一個健康方面的問題	OOOOOOOOSOOOOOOO
	
而且因為你們發出臭味的關係	OOOOOOOOOOOOO
有的餐廳因為最近一直都很少來客人	OOOOOOOOOOOOOOOO
所以虧本了不小	OOOOOOS
幸虧那店的老闆人很好	OOOMOOOOOO
所以正在他會忍耐	OOWWWROO
但是他也覺得已經受不了	OOOOOOOOOOO
	
除了規定以外	OOOOOO
還要每個禮拜一次我們與工廠長討論的機會	OOOOOOOOOOOSSSOOOOO
這樣才可以互相理解對方的要求與立場	OOOOOOOOOOOOOOOOO
	
如果廠長不處理的話	OOOOOOOOO
我們先告訴公所	OOOOOOO
之後給電視台投稿你們的工廠害我們的生活	OOSOOOSSOOOOOOOOOOO
而且情況很嚴重	OOOOOOO
同時進行告訴大家你們的工廠對消費者的態度是這樣	OORROOOOOOOOOOSSSOOOOOO
	
當然我們已經跟律師商量了	OOOOOOOOOOOO
你們不理我們的話我們告法院	OOOOOOOOOOMOO
你們的公司病很多	OOOOOSOO
而且你們的環境污染真嚴重	OOOOOOOOOOOO
遲早引起社會問題	OOMOOOOO
	
每天	OO
我們不可以也打開窗戶	OOWWWWOOOO
不可以也把洗的衣服曬太陽	WWWWOSOOOMOO
因為是噪音很大	OOROOOO
臭味太嚴重	OOOOO
	
我們相信你一定會實行很好的對策	OOOOOOOOSSOOOOO
我們希望互相配合解決這問題	OOOOOOOOOOOOO
那麼	OO
請你給我聯絡你可以討論的日程	OOSOOOOOOMOOOO
	
因為我們都希望生活很好環境	OOOOOOOOOMOMO
所以請幫我們調整以下的事	OOOOOOSSOOOS
	
有些家有小孩子	OOSOOOO
他們需要比較安靜和乾淨的環境	OOOOOOOOOOOOOO
有的時候我們聽到很大的聲音	OOOOOOOOOOOOO
讓我們嚇一跳	OOOOOO
小朋友起來開始哭	OOOSSOOO
	
有的時候我們覺得空氣不好	OOOOOOOOOOOO
有臭的味道	OOOOO
有的鄰居有喉嚨的病	OOOOSMOOO
他們的身體最近更嚴重	OOOOOOOOSS
	
我們的要求是晚上８點到早上６點您工廠的製造產品的聲音變安靜	OOOOOOOOOOOOOOOOOOROOOOOOOSOO
因為這個時候鄰居要睡著的時間	OOOOOOMSOSSOOO
您工廠附近有很多小朋友和老人	OOOOOOOOOOOOOO
請想想他們的需要	OOOOOOOO
	
還有在空氣方面也請調整一下	OOOOOOOOOSSOO
因此先把廢氣乾淨一下	OOOOOOSSSS
以後發氣	OOMS
	
我們雖然希望跟您保持和平的關係	OOOOOOOOOOOOOOO
但是我們一定保護家人跟鄰居的安全的生活	OOOOOOMOOOOOOOOOSOO
所以您不會改變的話	OOOOROOOO
我們請政府幫忙我們	OOMOOOOOO
	
我們相信您願意合作	OOOOOOOOO
謝謝您看我的信	OOOOMOO
最近天氣突然改變	OOOOOOOO
請好好保重	OOOOO
	
李廠長相信家裡也有小孩或是上了年紀的父母	OOORROOOOOOOOOOOOOOO
相信也不會想自己的家人受到這樣的影響吧	OOOOOSOOOOOOOOOOOOO
	
因臭味太厲害	OOOOOO
一般客人都不要再光臨我們的小店	OOOOOOSOOOOOOOO
而我們村子的臭味情況已經越來越多人知道	OOOOOOOOOOOOMOOOOOO
因此最近生意越來越差	OOOOOOOOOO
	
由於問題的嚴重性	OOOOOOOO
若是再過一個禮拜噪音跟臭味的情況還沒改善的話	OOOOOOOOOOOOOOOOOOOOOO
我們只好找法律管道去解決這個問題	OOOOSOOOOOOOOOOO
	
我住在您們的工廠附近	OOOOOOOOOO
永康工業區	MOOOO
這些年來跟您們的工廠住在同一區是讓我們鄰居更有工作的發展	OOOOOOOOOOOOOOOROOOOOOOOOMOO
這一點我們感到非常感謝	OOOOOOOOOOO
	
不知道李長那邊的工廠最近發生了什麼問題還是機器操作發生問題	OOOOSOOOOOOOOOOOOOOOOOOOOOOOO
讓我們住在您們工廠的鄰居感到困擾	OOOOOOOOOMOOOOOO
	
您們的工廠機器的聲音會吵到鄰居的家裡	OOOOOOOOOOOSSOOOOO
加上工廠的作業時間是二十四小時	OOOOOOOOOOOOOOO
很多人反應沒有辦法好好的休息	OOOOOOOOOOOSOO
白天經過您們的工廠也要閉耳朵因為太吵	OOOOOOOOOOOSOOOOOO
太大聲了	OOOO
	
您們工廠的垃圾都會丟在我們附近住的地方	OOOOOOOOOOOOOWWWWWW
而且最近垃圾的管子破掉了	OOOOOOOOOOOO
味道也越來越重了	OOOOOOOO
特別是家有水溝的鄰居	OOOOOOOOOO
越來越受不了臭味的味道	OOOOOOOORRR
住在這邊越來越不舒服	OOOOOOOOOO
	
也請李長為永康工業區鄰居解釋為什麼會發生這些問題	OOOSSOOOOOMOOOOOOOOOOOOO
幫我們清潔永康工業區的水溝也因為您們的工廠垃圾發出臭味	OOOOOOOOOOOOOSOOOOOOOOOOOMO
	
請您們也換一個到工廠的垃圾不然把那個地方封住讓味道不出來也不要造成鄰居的困擾及不舒服	OOOOOOOMOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
	
我是王天華	OOOOO
是住在你工廠附近的一戶家	OOOOOOOOOOOR
同時也代表這裡的區民來跟你商量一下	OOOOOOOOOOOOOOOOO
	
你知道嗎？我們的孩子和父母都因為噪音太大而睡不著	OOOOOOOOOOOOOOOOOOOOOOOO
在村里大大小小都因臭味而生病了	OOOOOOOOOOOOOOO
有的病很嚴重	OOOMOO
	
要是你不把這些問題處理好的話	OOOOOOOOOOOOOO
我們會告到法院去	OOOOOOOO
那時看看你還愛能做甚麼	OOOOOOROOOO
	
你也知道人民的力量是很大吧	OOOOOOOOOOOOM
我們還有很多辦法可以處理你的工廠	OOOOOOOOOOOOOOOO
你該聽過「你敬人一尺	OOOOOOOOOO
人敬你一丈」了吧	OOOOOORO
	
要是談不成	OOOOO
我們就比用行動來表達自己的意見囉	OOOSOOOOOOOOOOOO
不過我相信你是個懂得道理、也是個有知識人才	OOOOOOOOOOOOOOOOOOOMS
所以你該懂我所說的話吧	OOOSOOOOOOO
	
我也希望不是為了這個小事	OOOOOSOOOSOO
讓你們那邊和我們這邊都會損失財物、精神、關係	OOOOOOOOOOOROOMOOOOOOO
	
誰都要有健康的身體	OOOOOOOOO
所以我代表全部的鄰居寫這封信給你	OOOOOOOOSSOOOOOO
我們只希望你們能處理你們工廠的噪音和臭味	OOOOOOOOOOOOOOOOOOOO
讓我們可以好好睡覺	OOOOOOOOO
	
我們已經帶他們去看醫生了	OOOOOOOOOOOO
醫生有說：「你們孩子年紀太小	OOROOOOOOOOOOO
但常常聽到很大和很不舒服的聲音	OOOOOOOOOOOOOOO
那樣對你們孩子的發展不好	OOOOOOOOOOOO
」聽到醫生說我們就很擔心	OOOOOMOOOOOO
所以我趕快寫這封信給你	OOOOOOOOOOO
	
我們都知道你的工廠工作的很穩定	OOOOOOOOOOOROOO
這幾年以來你們的產品在世界上非常有名	OOOOOOOOOOOOOOMOOO
以前你們的工廠一直都很好	OOOOOOOOOOOO
不知道從什麼時候開始你們工廠就發生這兩個問題	OOOOOOOOOOOOOOOOOMOOOO
	
如果你們不處理	OOOOOOO
我們就要到法院說話了	OOOOOOOSSO
但我相信一位有責任的老闆就會把這件事情處理好	OOOOOOOOOOOOOOOOOOOOOO
	
因為整天有噪音很多人睡不著：上班的人都沒辦法注意他們的工作	OOOOOOOOOOOOOOOOOOOOOOMOOOOOO
婦女也沒辦法做家事	OOOOOOOOO
孩子不能念書	OOOOOO
	
我們特別希望為了讓大家睡得著	OOOOOOOOOOOOOO
你們可以取消夜裡班	OOOOOOORO
	
聽說最近政府給工廠提供錢	OOOOOOOOOOOO
我們覺得你們可以利用他們的錢買更多的設備	OOOOOOOOOOOOOOOOOOOO
這樣的話你們的員工白天內會完成工作	OOOOOOOOOOOOMOOOO
	
如果沒有什麼改變	OOOOOOOO
我們的第二步就是告你們	OOOOOOOOOOO
現在我們一共有兩百個人	OOOOOOOOOOO
而且我們也有證明（噪音的錄影跟夜裡班照片）	OOOOOOOOOOOOOOOOROOOO
	
我們也打算跟「環保中心」聯絡	OOOOOOOOOOOOOO
告訴他們你們污染自然	OOOOOOOOOO
我們希望我們不要做第二步	OOOOOOOOOOOO
	
吳老闆說從三個星期前開始	OOOOOOOOOOOO
有越來越少客人來餐廳吃飯	ROOOOOOOOOOO
他說臭味把飯的口味變不好	OOOOOOOOOSOS
	
如果在下幾個星期內他們生意不改善他們可能必須關店	OOOOOOOOOOOOOSOOMOOOOOOO
吳老闆快會七十歲了	OOOOROOOO
所以他們關店的話會有很多問題	OOOOOOOOOOOOOO
我們大家很希望他們可以繼續生意	OOOOOOOOOOOOOMO
	
我們現在也不能把衣服吊在外面曬太陽	OOOOOOOOOOOOOOOOO
要不然它會著一個真受不了的味道	OOOOOSOSOOOOOOO
	
而且我們兒子晚上常常睡不著	OOSSOOOOOOOOO
因為十點晚上過後還有很吵機器的噪音	OOOOOOOOOOOOWWWOO
	
我們希望您可以把這些狀況弄好了	OOOOOOOOOOOOOOR
例如您可以改營業時間提早一點	OOOOOSOOOOOOOO
這樣晚上您可以早一點休息而且我們兒子們就能早睡	OOOOOOOOOOOOOOOOMSOOOOM
而且我們請您用最吵的機器在晚上十點之前	OOOOOOWWWWWWWWWWWWW
	
最近您在我們的市區裡建設一個螺絲製造與螺絲電鍍工廠	OOOOOOOOOOOOMSOOOOOOOOOOO
您的工廠開始運作到現在	OOOOOOOOOOO
影響不少到我們的生活	OOOOOOOOOO
	
而且工廠使用過的污染水	OOOOOOOOOOO
您沒有處理好	OOOOOO
所以在水溝裡現在開始起了臭味	OOOOOOOOOOSOOO
讓我們天天聽了不好的聲音而且還天天聞到這個臭味	OOOOOOOOOOOOOOOOOOOOOOO
	
我今天寫這封信給您	OOOOOOOOO
希望您了解到我們環境目前狀況	OOOOOOOOOOOOMO
我不會為難您的事業	OOOOOOOOO
但是希望您為大家的利益與發揮公德心	OOOOOOOOOOOROOOOO
	
如果在２個月內	OOOOOOO
您的工廠沒辦法解決這個問題	OOOOOOOOOOOOO
我們只能請環保署來處	OOOOOOOOOS
	
我是王天華	OOOOO
就是貴工廠的鄰居	ROOOOOOO
今天我寫這封信給您是因為我有一個事情要陳情向您	OOOOOOOOOOOOOOOOOOOWWWW
就是關於貴工廠最近對我們鄰居所影響到的事情	OOOOOOOOOOOOOOOSSSOSS
	
我切望您聽我們的話	OSSOSOOOO
然後改善目前的情況	OOOOOOOOO
我所下面寫的內容不只是我的意見	OWWWOOOOOOOOOOO
而是我們鄰居對貴工廠的的共同的要求	OOOOOOOOOOROOOOOO
	
貴公司最近所發生的噪音、臭味對鄰居給巨大影響	OOOOOOSSOOOOOOOOOSOOOO
	
我們認為貴公司對鄰居的責任很大	OOOOOOOOOOOOOOO
因此我們對貴公司要求有些事情	OOOOOOOOOOSSOO
我們的要求是如下四個事情	OOOOOOOOOSOO
	
一、為了減少噪音	OOOOOOOO
請您設置防音用牆壁	OOOOSOOOO
	
同時您一定要回答做好這些對策的具體性的時期	OOOOOOOOSSOOOOOSSSOSS
如果到這個月月底時沒有您的回答的話	OOOOOOOOOOOMOOOOO
我們會控告	OOOOO
但我們希望和貴工廠結友好的關係	OOOOOOOOOSOOOOO
因此切望您老實地對應	OOSSOOOOOO
	
關於這封信	OOOOO
您有如何問題的話	OOSSOOOO
隨時問我	OOOO
我於信封上面寫我的地址與電話號碼	OSOOOOOMOOOOOOOO
請您確認一下	OOOOOO
	
最近幾個星期和許鄰居們最普遍的話題就有關您那座工廠製造的噪音與臭味	OOOOOOOROOOOOOOOOOMOOOOOOOOOOOOOO
讓我決定和鄰居一起結合討論這個問題	OOOOOOOOOSSOOOOOO
沒想到結合時間來了那麼多人	OOOSSOOOOOOOO
	
因臭味的影響	OOOOOO
許多鄰居們連開窗戶都不敢開	OOOOOOOOOOOOO
現在是夏天	OOOOO
人家不敢開窗戶更令人吃驚	RROOOOOOMOOO
也算是不可思議的事了	OOOMOOOOOO
再加上	OOO
連喜歡出去玩玩的小朋友不想出門了	OOOOOSSOOOOMOOOO
	
而且臭味只是其中一個問題	OOOOOOOOOOOO
加上噪音就更糟糕	OOOOOOOO
如果白天才有	OOOOOO
那應該是大家能接受的	OOOOOOOOOO
不過到夜裡還那麼吵	OOOOOOOOO
真是令人氣憤	OOOOOO
整天辛苦晚上無法睡	OOOOOOMOO
誰能接受呢？	OOOOOO
我希望您能承認我們那些居民的意見	OOOOOSSOOOOOOOOO
好好思考未來工廠的發展方向	OOOOOOOOOOOOO
	
如果這幾個星期沒收到您的回信	OOOOOOOMOOOOOO
恐怕要向市政府去報告	OOOOOOOOOO
讓他們趕快處理	OOOOOOO
	
這件事已經讓工廠附近的居民困擾太久了	OOOOOOOOOOOOOOOOOO
因此加入我們那些抗議者也相對的越來越多	OOOOOOMOOOOOOOSOOOO
	
我是王天華	OOOOO
我的家是在你們的工廠附近	OOOROOOOOOOO
	
李廠長您好	OOOOO
最近您們工廠的噪音和臭味都讓我們受不了	OOOOOOOOOOOOROOOOOO
	
我們希望貴工廠找辦法解決這問題	OOOOOOOOOOOOOOO
希望貴工廠修改或者是買新設備	OOOOOSSOOOOOOO
而沒有那麼大的聲音來用	SSMOOOOOORR
	
所以我們最想你們為了我們過生活的安全而跟我們合作解決工廠發生的問題	OOOORSOOOOOOOOOOOOOOOOOOOOOOOOOOO
	
因為最近工廠的噪音和臭味都讓我們附近受不了	OOOOOOOOOOOOOOOOOOMOO
